I tê	You're small
Mi â in ni	You're fools
I tenawm e	You're gross
I vannei e	You're lucky
I ti dik e	You're right
I lungngai	You're sad
I hlauhawm	You're scary
I ngaihawm	You're sweet
I tê lûtuk	You're too small
Leh Leh Leh	Again Again Again
Ka thau em?	Am I fat?
Ka thau em?	Am I fat?
Ka zalen em	Am I free to leave
Ka tlai em?	Am I late?
Ka tlai em?	Am I late?
An buai em?	Are they busy?
Kan him em?	Are we safe?
Min hlau em	Are you afraid of us
I hahdam em	Are you comfortable
I rûi a mi?	Are you drunk?
I thau ami?	Are you fat?
Min zui em?	Are you following me?
I lut ta em	Are you in
I infuih em	Are you motivated
I enfiah em	Are you observant
I zakzum em	Are you shy
I chiang em	Are you sure
I chhel em?	Are you tough?
Nelawm rawh	Be friendly
Nêlawm rawh	Be friendly
Nunnem rawh	Be patient
Ngawi rawh.	Be quiet.
Enngun rawh	Be watchful
Enngun rawh	Be watchful
Mi vaw rawh	Beats me
zawrh rukna	black market
Bansan rawh	Break it up!
FBI ko rawh	Call the FBI
Ko kir rawh	Call them off
Ko kîr rawh	Call them off
Enkual rawh	Check around
Enrawh hei!	Check it out!
Lung cancer	Chuap cancer
chhuak rawh	clear out
Lo lêt rawh	Come back in
Lo kal rawh	Come forward
Lo lut rawh	Come inside
Lo lût rawh	Come inside
Lo haw rawh	Come on home
Lo lut rawh	Come on in
Lo kal vat!	Come quickly!
Tichhe rawh	Destroy it
Ka chak em?	Did I win?
I en ve em?	Did you get a look at it?
I ṭawng em?	Did you speak?
I hleuh em?	Did you swim?
Ka nalh em?	Do I look OK?
An hria em?	Do they know?
Kan nei em?	Do we have any?
Nu i nei em	Do you have a mother
I la nei em	Do you have it yet
Mi a ei em?	Does it eat people?
A theih em?	Does it work?
Ui a nei em	Does she have a dog
Mualpho suh	Don't be embarrassed
Lei duh suh	Don't buy it
Lo lût suh.	Don't come in.
Va sual suh	Don't fight
Inrawlh suh	Don't get involved
La kal suh.	Don't go yet.
Min vaw suh	Don't hit me
Mi tina suh	Don't hurt me
Mi tinâ suh	Don't hurt me
Mi that suh	Don't kill me
Mi fawp suh	Don't kiss me
Mi fâwp suh	Don't kiss me
Kalsan suh!	Don't leave!
Kal tir suh	Don't let go
Mi nek suh!	Don't push me!
Lo ṭang suh	Don't resist
Min au suh.	Don't shout at me.
Endik rawh.	Examine it.
Engtin maw?	Pardon me?
Enfiah rawh	Examine them
Mit daktawr	Eye doctor
hmui tuamna	Face mask
Mei a kang.	Fire burns.
Tumna nghet	Firm determination
Mi zui rawh	Follow me
Kal bo rawh	Get lost
Tom ko rawh	Get Tom
Bansan rawh	Give it up
A ṭha tiraw	Give me five
Va nei rawh	Go get it
Zing chibai	Good morning
La rawh Tom	Grab it, Tom
Tui in rawh	Have a drink
In leh rawh	Have another drink
Intihlim ru	Have fun
Min fawp lo	He didn't kiss me
Min duh lo.	He does not like us.
A hah lutuk	He felt tired
Man a tawk.	He got caught.
A lo upa ta	He grew old
Buh a ching	He grows rice
Inah a awm.	He is at home.
A fing a ni	He is intelligent
A thatchhia	He is lazy
A zuang zel	He jumped on
A haw chiah	He just left
A pet chiah	He kicked it
A pet chiah	He kicked it
A tlan chak	He runs fast
Damlo a ang	He seems ill
A sawi tawh	He spoke
A sawi tawh	He spoke
Min pui ang	He will assist us
Hetah a awm	Here it is
Mimawl a ni	He's a jerk
Mimawl a ni	He's a nerd
Mimâwl a ni	He's a nerd
Tui a in a.	He's drinking water.
Dawt a sawi	He's lying
A lo lût lo	He's not in
Chibai, Tom	Hi, Tom
Chelh rawh!	Hold it!
Chelh rawh!	Hold it!
Lo lut rawh	Hop in
A van mawi!	How cute!
Tui ka leih	I added water
Tom ka lawm	I admire Tom
Ka kal ziah	I always walk
Inah ka awm	I am at home
Inah ka awm	I am at home
Ka khuh mek	I am coughing
Ka khuh mêk	I am coughing
Ka tha tawk	I am great
Ka ṭha tawk	I am great
Ka upa tawh	I am old
Ka inpeih e	I am ready
Ka felfai e	I am smart
Ka felfai e	I am smart
Ka lei tawh	I bought it
Ka hal tawh	I burned it
Ka hal tawh	I burned it
Ka irhfiak.	I burped.
Ka lam thei	I can dance
Ka lâm thei	I can dance
Ka kal thei	I can go
Ka pen thei	I can walk
Ka thawh ve	I contributed
Ka thawh ve	I contributed
Ka pui thei	I could help
Ka ṭap nasa	I cried a lot
Ka tap nasa	I cry a lot
Ka lam tawh	I danced
Ka ti tawh.	I did it.
Ka remti lo	I didn't disagree
Ka tling lo	I didn't pass
Ka hleuh lo	I didn't swim
Ka nghak lo	I didn't wait
Ka nghâk lo	I didn't wait
Ka pawm lo.	I disagree.
Ka thawk lo	I do not work
Ka vuak lo.	I don't beat them.
Ka inrem lo	I don't compromise
Ka chhum lo	I don't cook
Ka chhai lo	I don't date
Ka hleuh lo	I don't swim
Ka ngai lo.	I don't think so.
Ka ringhlel	I doubt it
Ka in nasa.	I drank a lot.
Hnute ka in	I drink milk
Hetah ka ei	I eat here
Nun ka chen	I enjoy life
Ka sawi uar	I exaggerated
Ka sawi uar	I exaggerated
Ka lawm hle	I feel happy
Ka lâwm hle	I feel happy
Ka inpeih e	I feel ready
Ka hah hmel	I feel tired
Ka muhil a.	I fell asleep.
Ka hrethei.	I fell.
A fuh ka ti	I felt fine
Ropui ka ti	I felt great
Ka hre thei	I felt it
A him ka ti	I felt safe
Ka hre thei	I felt that
Ka chau hle	I felt tired
Ka châu hle	I felt tired
Ka thawhuai	I gasped
Ka tawpsan.	I gave up.
Ka kal thin	I get by
Ka kal ṭhin	I get by
Ka nui nasa	I giggled
Ka bansan e	I give up
Ka bânsan e	I give up
Ka tisual e	I goofed
Ka tisual e	I goofed
Card ka hmu	I got carded
Ka lungleng	I got lonely
Ka zak tlat	I got nervous
Ka damlo a.	I got sick.
Ka tho tlai	I got up late
Uite ka hua	I hate dogs
Ka hua tlat	I hate it
Ka hua tlat	I hate it
Sazu ka hua	I hate mice
Ruah ka hua	I hate rain
Balu ka hua	I hate sand
Khuh ka nei	I have a cold
Bawl ka nei	I have a rash
Fapa ka nei	I have a son
Phir ka nei	I have a twin
Chaw ka nei	I have food
Ka la tânlo	I haven't started
Ka hria che	I heard you
Ka kalsan a	I left her behind
Sana ka duh	I like clocks
Uite ka duh	I like dogs
Thei ka duh	I like fruit
Jazz ka duh	I like jazz
Chaw ka duh	I like rice
Ka tithei e	I made it
Ka tithei e	I made it
Ka hmu tawh	I met him
Ka hmu tawh	I met them
Ka ngai che	I miss you
Ka chesawn.	I moved.
Ka lo hria.	I noticed.
Ka dodal a.	I oppose it.
Ka pe tawh.	I paid.
Tom ka hnek	I pinched Tom
Ka tawngtai	I prayed
Ka ṭawngṭai	I prayed
Ka inzawt a	I question myself
Ka tlan lut	I ran inside
Ka ṭap khat	I rarely cry
Ka intiharh	I relaxed
Ka zah che.	I respect you.
Ka hmu kha.	I saw it.
Mipa ka hmu	I see a boy
Arsi ka hmu	I see a star
Arsi ka hmu	I see a star
Ka ziat fai	I shaved
Ka ziat fai	I shaved
Ka zai nasa	I sing a lot
Ka mu nasa.	I sleep a lot.
Ka mu tlai.	I slept late.
Ka hnim fuh	I smelled it
Ka sawi kha	I spoke up
Ka zai tâna	I started dancing
Ka kal tâna	I started walking
Ka awm tawh	I stayed
Ka awm tawh	I stayed
Ka bei nasa	I struggled
Ka zir nasa	I study hard
Ka inpumpek	I surrender
Ka inpumpêk	I surrender
Ka himdam e	I survived
Ka himdam e	I survived
Ka bei nasa	I tried hard
Ka zin tawh	I tripped
Tom ka ring	I trust Tom
Ka hrethiam	I understand
Ka kal nasa	I walk a lot
Mary ka duh	I want Mary
Mary ka duh	I want Mary
Ka buai lai	I was busy
Ka vawt vek	I was cold
Ka vâwt vek	I was cold
Thlêm ka ni	I was framed
Ka zu rui a	I was intoxicated
Ka that kha	I was OK
Ka chau vek	I was out
Ka muhil lo	I wasn't sleeping
Ka kal dawn	I will go
Ka zir dawn	I will learn
Ka kap dawn	I will shoot
Ka kâp dawn	I will shoot
Ka pawm ang	I'd accept
Ka dah dawn	I'll keep it
Ka nung ang	I'll live
Ka hloh ang	I'll lose
Ka siam ang	I'll pack
Ka ding ang	I'll stand
Ka cham ang	I'll stay
Ka bang ang	I'll stop
Ka kal ang.	I'll walk.
Ka ziak ang	I'll write
Mipa ka ni.	I'm a man.
Mipa ka ni.	I'm a man.
Ka thinrim.	I'm angry.
Ka huaisen.	I'm brave.
Ka beisei e	I'm expected
Ka inthazo.	I'm fit.
Ka zalen ta	I'm free now
Ka pe a ni.	I'm giving it to you.
Ka va mu a.	I'm going to go and lie down.
Ka biru mek	I'm hiding
Ka biru mêk	I'm hiding
Ka hloh mek	I'm losing
Ka ho lutuk	I'm naive
Ka ho lûtuk	I'm naive
Ka dodal lo	I'm not against it
Ka chapo lo	I'm not arrogant
Ka damlo lo	I'm not sick
Ka atchilh.	I'm obese.
Ka dik zawk	I'm right
Ka dik zâwk	I'm right
Ka zak deuh	I'm shy
Ka tihsual.	I'm sorry.
Ka sawi mek	I'm speaking
Ka sawi mêk	I'm speaking
Ka pangai e	I'm stable
Ka ding mek	I'm standing
Ka ding mêk	I'm standing
Ka ril ṭam!	I'm starving!
Ka pheklek.	I'm tense.
Ka za lutuk	I'm ticklish
Ka za lûtuk	I'm ticklish
Ka buai der	I'm troubled
Ka sa lutuk	I'm very hot
Ka sa lûtuk	I'm very hot
Eiral ka ni	I'm wasted
Ka en mêk e	I'm watching
Ka naupang.	I'm young.
I ta ka ni.	I'm yours.
Hnai lo ve.	In no way.
Vûr a ni em	Is that snow
Tom a a em?	Is Tom mad?
A ṭha ka ti	It felt good
A vâwt a ni	It is cold
Mak a ti lo	It isn't surprising
A rimchhia.	It stinks.
A dum a nia	It was black
A fai a nia	It was clean
Inelna a ni	It was competitive
Pizza a nia	It was pizza
A chhe zawk	It was worse
A chhe zâwk	It was worse
A ṭha vek e	It went OK
A kang dawn	It will burn
A kâng dawn	It will burn
A tâwp tawh	It's already over
A phurawm e	It's amusing
A lem a nia	It's bogus
A tlawm hle	It's cheap
Thuruk a ni	It's confidential
A hma lutuk	It's early
A hma lûtuk	It's early
A lian a ni	It's great
Hetah hian.	It's here.
A lian turu	It's huge
A tlai tawh	It's late
Ka CD a nia	It's my CD
Tom a ni lo	It's not Tom
I Kar a nia	It's our car
A ṭha lutuk	It's so cool
A sak lutuk	It's so hard
A sak lûtuk	It's so hard
a lum lutuk	It's so hot
A ṭha lutuk	It's so nice
A ṭha lûtuk	It's so nice
A mak lutuk	It's strange
A mak lûtuk	It's strange
A hun tawh.	It's time.
A hla lutuk	It's too far
A upa lutuk	It's too old
A upa lûtuk	It's too old
A pangai lo	It's unusual
A var a nia	It's white
Thli a tleh	It's windy
Ka ban tawh	I've already resigned
Ka man che.	I've got you.
Ka hmu tawh	I've seen it
Jakoba fate	Jacob’s Children
Zuang thla.	Jump down.
Hahdam rawh	Just relax
La mai rawh	Just take it
Ka lam tawh	I danced
Ka zin tawh	I tripped
Dah bo rawh	Keep away
Insum rawh.	Keep calm.
En zel rawh	Keep looking
En zêl rawh	Keep looking
Dahbo rawh!	Keep out!
Ro tir rawh	Let it dry
Ro tir rawh	Let it dry
Kan lo kal.	Let us go.
Zan ti ila.	Let's call it a night.
Tichhin ang	Let's try it
Kal zel ang	Let's walk
Kal zêl ang	Let's walk
Ennawn rawh	Look again
Enchho rawh	Look it up
Enchho rawh	Look it up
Mi nei rawh	Marry me
Mi nei rawh	Marry me
Kei pawh le	Me too
Mine's here	Ka tâ chu heta hi
Kal rawh le	Move on
Ka kê a nâ.	My leg hurts.
Pawi tisuh!	Never mind!
Tunah ni lo	Not now
A nih lohin	Of course
Hawng rawh.	Open up.
Na chhawkna	Pain relief
Engtin maw?	Pardon me?
Bansan rawh	Quit it!
aah ti rawh	Say "aah"
Mi dap rawh	Search me
Mi dap rawh	Search me
A chhang lo	She didn't answer
Min en a Hi	She looked at me and said Hi
Zai a duh a	She wanted to dance
Hla a sa a.	She was singing a song.
Min man ang	She will catch us
Henu a buai	She's busy
A hawihhawm	She's nice
A famkim lo	She's not perfect
Titawp rawh	Shut it down
Titâwp rawh	Shut it down
Kalkal rawh	Skip it
A rei lutuk	So long
A rei lûtuk	So long
Pawih purun	Spring onion
Cham rih la	Stay a while
Châm rih la	Stay a while
Inkhar rawh	Stay close
Lo lut rawh	Step aside
En tawh suh	Stop staring
La let rawh	Take it back
La lêt rawh	Take it back
Lo thu rawh	Take your seat
Ni a tla ta	The sun has gone down
Khua a ni a	The weather is sunny
An inbiak a	They are having a chat
Min thîk a.	They are jealous of us.
An man ta a	They arrested him
An inbual a	They bathed themselves
An lo lût e	They came in
An lawm hle	They cheered
An lâwm hle	They cheered
An au dun a	They cried out together
An inveng a	They defended themselves
An dodal lo	They did not resist
An budge lo	They didn't budge
Min hmu lo.	They didn't find us.
Min bum lo.	They didn't fool us.
An tawng lo	They didn't speak
An beidawng	They gave up
An inkuah a	They had their arms around each other
Min haw vek	They hate us
An ko zel a	They keep calling
An in zel a	They kept drinking
An infawp a	They kissed each other
An nui nasa	They laughed
An kal tawh	They left
An inhlat a	They moved apart from each other
An reh hmak	They shut up
An insual a	They were fighting
An inthîk a	They were jealous
An thup ang	They will hide it
An hlau ang	They'll be afraid
An lo lêt e	They're back
An lem a ni	They're fake
Inah an awm	They're home
An inbia lo	They're not talking
An hah a ni	They're tired
An inkawp a	They're with each other
Hei hi sana	This is gold
Tom-a a bu.	Tom dozed.
Tom a hausa	Tom got rich
Tom-a a zo.	Tom is up.
Tom a in lo	Tom isn't drinking
Tom a zo lo	Tom isn't finished
Tom a bo lo	Tom isn't missing
Tom a zuang	Tom jumped
Tom-a a bo.	Tom lost.
Tom a chawl	Tom rested
Tom a tawng	Tom talked
Tom a duham	Tom's greedy
Tom an tina	Tom's hurt
Tom-a a haw	Tom's left
Tom-a a him	Tom's safe
Tom a damlo	Tom's sick
Khawih rawh	Touch it
Tinung rawh	Turn it on
Tiring rawh	Turn it up
Tiring rawh	Turn that up
Tiring rawh	Turn that up
Kum zahnih?	Two hundred years?
Kan ṭap vek	We all cried
Mipa kan ni	We are men
Kan ei tawh	We ate
Kan vaw vek	We beat them
Kan vaw vek	We beat them
Kan tiṭha e	We did great
Kan tithei.	We did it.
Nuam kan ti	We had fun
Nuam kan ti	We had fun
Hun kan nei	We have time
Kan en sang	We looked up
Kan tibo e.	We lost it.
Tom kan hmu	We saw Tom
Kan tichhin	We try
Kan inbia a	We were chatting
Kan bo tawh	We were lost
Kan hlau lo	We weren't scared
Kan tel ang	We'll attend
Kan zui ang	We'll follow
Kan kal ang	We'll walk
Kan ṭha vek	We're all OK
Kan sa tawh	We're hot
Kan khar lo	We're not closing
Kan lawm lo	We're not welcome
Kan lawmlo.	We're sad.
I lainat em	Were you compassionate
I en em ni?	Were you watching?
Kan zo tawh	We've already finished
Kan chak e!	We've won!
Ka va â em!	What a fool I was!
Engnge ni a	What is it
Eng nge ni?	What is it?
Tu tih nge?	Who did it?
Tunge hria?	Who knows?
Tu pek nge?	Who paid?
Tunge bang?	Who quit?
Tunge tlan?	Who ran?
Tunge tlan?	Who ran?
Tunge bang?	Who resigned?
Tunge bâng?	Who resigned?
Tunge ding?	Who stood?
Tunge chak?	Who won?
Tunge hman?	Who's free?
Tu tân nge?	Who's it for?
Aw, ka hria	Yes, I know
Aw, an thei	Yes, they can
I thi tawh!	You are already dead!
I mawi a ni	You are beautiful
I kok a ni.	You are being a kook.
I thatchhia	You are lazy!
I ṭhatchhia	You are lazy!
I dik dik e	You are right
Toma inhneh	You beat Tom
I inlan lo.	You didn't show up.
Min pui lo.	You do not help me.
I upat hmel	You look old
I upat hmêl	You look old
I rimchhia.	You stink.
I inbual a.	You washed yourself.
I dil a ni.	You were asking for it.
Vau i ni a.	You were being threatened.
Misual i ni	You're a criminal
Tâng i ni a	You're a prisoner
I huaisen e	You're brave
I va hmâ ve	You're early
I fing a ni	You're intelligent
I muk lutuk	You're moody
I muk lûtuk	You're moody
I la zo lo.	You're not done yet.
I inchei lo	You're not dressed
I â lo a ni	You're not stupid
I hman tawh	You're ready
I thiam hle	You're sharp
I tumruh lo	You're unambitious
I hma lutuk	You're very early
I fing reuh	You're witty
Ka titawp em	Am I interrupting
Mi chhang la	Answer me
Mi chhang la	Answer me
Mi an tam em	Are there many people
An mu dun em	Are they sleeping together
I dam tha em	Are you all right
I thinrim em	Are you angry
I la buai em	Are you confused yet
I mâwl a mi?	Are you crazy?
I tap e law?	Are you crying?
I inzai ami?	Are you cut?
I ti tha em?	Are you doing well?
I la rui em?	Are you drunk yet?
I la hlim em	Are you having fun yet
Min thik em?	Are you jealous of us?
I rinawm em?	Are you loyal?
I vannei em?	Are you lucky?
Mi i hmu em?	Are you seeing someone?
I zakzum em?	Are you shy?
I tâng a mi?	Are you stuck?
Mak i ti em?	Are you surprised?
I felfai em?	Are you tidy?
Toma i ni em	Are you Tom
I like beans	Be ka duh
Nunnem takin	Be kind
I hate beans	Be lam ka hua
Tum nei rawh	Be objective
Nunnem rawh.	Be patient.
Fimkhur rawh	Be vigilant
Fimkhur rawh	Be vigilant
Hnute cancer	Breast cancer
a nih leh aw	bye bye
Taxi ko rawh	Call a taxi
A tithei em?	Can he do it?
En teh, Tom.	Check it out, Tom.
Lo let rawh.	Come back.
Mi ring rawh	Count on me
Kan chak em?	Did we win?
Thil i ti em	Did you do something
I ei tam em?	Did you eat much?
I hmu em ni?	Did you find them or not?
I ṭanpui em?	Did you help?
I that em ni	Did you kill them
I tibo a mi?	Did you lose?
Lo lut rawh!	Do come in!
Tunah tirawh	Do it now
Min ring em?	Do you believe us?
Sum i nei em	Do you have money
Pawi i ti em	Do you object
Sum i duh em	Do you want money
Mut i duh em	Do you want to sleep
Ui khap a ni	Dogs are forbidden
Uite an bauh	Dogs bark
Beidawng suh	Don’t get discouraged
Sum dil suh.	Don't ask for money.
Lungngai suh	Don't be sad
Ngaihsak suh	Don't bother
Ngaihven suh	Don't bother
Lei miah suh	Don't buy it
Tumah ko suh	Don't call anyone
Beidawng suh	Don't despair
Beidâwng suh	Don't despair
Hei hi tisuh	Don't do this
Che miah suh	Don't fidget
Inah haw suh	Don't go home
Kal suh, Tom	Don't go, Tom
Mi fiam suh!	Don't kid me!
Vak kual suh	Don't litter
Aw siam suh.	Don't make a sound.
Lo hawng suh	Don't open it
Leng vak suh	Don't ramble
Lo hnial suh	Don't resist
Mi hrilh suh	Don't tell me
Hawi let suh	Don't turn around
Ngaihsit suh	Don't underestimate it
Vote pe suh.	Don't vote for it.
Lungngai suh	Don't worry
Min vau suh.	Don't you threaten me.
Dam leh thih	Fight or die
Fa tîr piang	First born child
Kal bo rawh!	Get away!
Inthuam rawh	Get dressed
Kal zel rawh	Get moving
Chhuak rawh!	Get out!
Inpeih rawh.	Get ready.
Bul tan rawh	Get started
Bul ṭan rawh	Get started
Tih leh teh.	Give it another try.
Kal bo rawh.	Go away.
Dam takin le	Good bye
I tân a ṭha.	Good for you.
Vannei rawh.	Good luck.
Mangṭha, Tom	Goodbye, Tom
Pe fel rawh.	Hand it over.
Intihlim ru.	Have fun.
I ti ṭha em?	Have you done well?
Hna a dil a.	He applied for a job.
A tithei ang	He can do it
A hleuh thei	He can swim
A ṭap chhuak	He cried out
Dan a zah lo	He did not respect the rules
Hna a nei lo	He doesn't have a job
Tlem a in a.	He drank a little.
A ṭhin a rim	He got angry
Buh a ching.	He grows rice.
Coat a ha lo	He had no coat on
Awmpui a nei	He has a maid
Pawisa a nei	He has money
A muhil mek.	He is asleep.
Hetah a awm!	He is here!
A mamawh che	He needs you
Chaw a pe a.	He provided them with food.
A inziat fai	He shaved
Mi ngil a ni	He squinted
Pakhat a duh	He wants one
A ropui a ni	He was great
A la naupang	He was young
Min pui rawh	Help me
Hetah ka awm	Here I am
Hei kan awm!	Here we are!
Hetah i tan!	Here's to you!
Mi tâwp a ni	He's a slob
A tilem a ni	He's faking
A thatchhia.	He's lazy.
A la nui lo.	He's not laughing yet.
A cher lutuk	He's skinny
A cher lûtuk	He's skinny
A duhawm hle	He's so cute
A chak lutuk	He's strong
A chak lûtuk	He's strong
Hei, kal suh	Hey, don't go
Lo nghak zel	Hold on tight
Lo nghâk zel	Hold on tight
Lo zel rawh.	Hold on.
Che tawh suh	Hold tight
A dil chhut!	How curious!
A dîl chhût!	How curious!
I va rit em!	How heavy you are!
Ka chak ziah	I always win
Cat mi ka ni	I am a cat person
Ui mi ka ni.	I am a dog person.
Nurse ka nia	I am a nurse
Ka ei kham e	I am full
Motor ka rui	I am having motion sickness
Hetah ka awm	I am here
Ka upa tawh.	I am old.
Ka hahchhiau	I am sneezing
Ka hahchhiau	I am sneezing
Ka chiang lo	I am sure
Ka sang zâwk	I am taller
Ka tui a hal	I am thirsty
Eng ka ni lo	I am unenlightened
Ka naupang e	I am young
Ka inhnial a	I argued with her
Chhang ka ur	I baked bread
Ka ngen che.	I beg you.
Tom ka thlah	I bit Tom
Ka lei tawh.	I bought it.
Ka phum tawh	I buried it
Ka phûm tawh	I buried it
Toma ka man.	I caught Tom.
Ka inpuang e	I confessed
Ka inpuang e	I confessed
Ka khuh nasa	I cough a lot
Ka kal thei.	I could walk.
Ka ṭap nasa.	I cried a lot.
Ka tawlh let	I cringed
Ka tawlh let	I cringed
Ka tap nasa.	I cry a lot.
Ka tifai lo.	I didn't clean it.
Ka tlanbo lo	I didn't run away
Mi ka duh lo	I dislike people
Ka thawk lo.	I do not work.
